R00001	polyphosphate polyphosphohydrolase	C00404 + C00001	C02174	C00404 + n C00001 <=> (n+1) C02174	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate	Polyphosphate + n H2O <=> (n+1) Oligophosphate
R08974	pheophorbide-a hydrolase (decarboxylating)	C18021 + C00001	C18064 + C00132 + C00011	C18021 + C00001 <=> C18064 + C00132 + C00011	pheophorbide-a hydrolase (decarboxylating); Pheophorbide a + H2O <=> Pyropheophorbide a + Methanol + CO2	Pheophorbide a + H2O <=> Pyropheophorbide a + Methanol + CO2
R08975	pheophorbide-a hydrolase	C18021 + C00001	C18063 + C00132	C18021 + C00001 <=> C18063 + C00132	pheophorbide-a hydrolase; Pheophorbide a + H2O <=> C-13(2)-Carboxypyropheophorbide a + Methanol	Pheophorbide a + H2O <=> C-13(2)-Carboxypyropheophorbide a + Methanol
R08977	3'-phosphoadenylyl-sulfate:cholesterol sulfotransferase	C00187 + C00053	C18043 + C00054	C00187 + C00053 <=> C18043 + C00054	3'-phosphoadenylyl-sulfate:cholesterol sulfotransferase; Cholesterol + 3'-Phosphoadenylyl sulfate <=> Cholesterol sulfate + Adenosine 3',5'-bisphosphate	Cholesterol + 3'-Phosphoadenylyl sulfate <=> Cholesterol sulfate + Adenosine 3',5'-bisphosphate
R08978	3'-phosphoadenylyl-sulfate:pregnenolone sulfotransferase	C01953 + C00053	C18044 + C00054	C01953 + C00053 <=> C18044 + C00054	3'-phosphoadenylyl-sulfate:pregnenolone sulfotransferase; Pregnenolone + 3'-Phosphoadenylyl sulfate <=> 3beta-Hydroxypregn-5-en-20-one sulfate + Adenosine 3',5'-bisphosphate	Pregnenolone + 3'-Phosphoadenylyl sulfate <=> 3beta-Hydroxypregn-5-en-20-one sulfate + Adenosine 3',5'-bisphosphate
R08979	7-isopropyl-4-methyloxepan-2-one lactonohydrolase	C18066 + C00001	C18067	C18066 + C00001 <=> C18067	7-isopropyl-4-methyloxepan-2-one lactonohydrolase; 7-Isopropyl-4-methyloxepan-2-one + H2O <=> 6-Hydroxy-3,7-dimethyloctanoate	7-Isopropyl-4-methyloxepan-2-one + H2O <=> 6-Hydroxy-3,7-dimethyloctanoate
R08980	11beta,17beta-dihydroxy-4-androsten-3-one:NADP+ 17-oxidoreductase	C18075 + C00006	C05284 + C00005 + C00080	C18075 + C00006 <=> C05284 + C00005 + C00080	11beta,17beta-dihydroxy-4-androsten-3-one:NADP+ 17-oxidoreductase; 11beta,17beta-Dihydroxy-4-androsten-3-one + NADP+ <=> 11beta-Hydroxyandrost-4-ene-3,17-dione + NADPH + H+	11beta,17beta-Dihydroxy-4-androsten-3-one + NADP+ <=> 11beta-Hydroxyandrost-4-ene-3,17-dione + NADPH + H+
R08981	1-phosphatidyl-1D-myo-inositol-4,5-bisphosphate 4-phosphohydrolase	C04637 + C00001	C11557 + C00009	C04637 + C00001 <=> C11557 + C00009	1-phosphatidyl-1D-myo-inositol-4,5-bisphosphate 4-phosphohydrolase; 1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate + H2O <=> 1-Phosphatidyl-1D-myo-inositol 5-phosphate + Orthophosphate	1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate + H2O <=> 1-Phosphatidyl-1D-myo-inositol 5-phosphate + Orthophosphate
R08982	beta-D-fructofuranosyl-alpha-D-mannopyranoside-6F-phosphate phosphohydrolase	C18050 + C00001	C18068 + C00009	C18050 + C00001 <=> C18068 + C00009	beta-D-fructofuranosyl-alpha-D-mannopyranoside-6F-phosphate phosphohydrolase; beta-D-Fructofuranosyl-alpha-D-mannopyranoside 6F-phosphate + H2O <=> beta-D-Fructofuranosyl-alpha-D-mannopyranoside + Orthophosphate	beta-D-Fructofuranosyl-alpha-D-mannopyranoside 6F-phosphate + H2O <=> beta-D-Fructofuranosyl-alpha-D-mannopyranoside + Orthophosphate
R08991	cyclic bis(3->5')diguanylate 3-guanylylhydrolase	C16463 + C00001	C18076	C16463 + C00001 <=> C18076	cyclic bis(3->5')diguanylate 3-guanylylhydrolase; 3',5'-Cyclic diGMP + H2O <=> 5'-Phosphoguanylyl(3'->5')guanosine	3',5'-Cyclic diGMP + H2O <=> 5'-Phosphoguanylyl(3'->5')guanosine
R08992	geranylgeranyl-diphosphate diphosphohydrolase (sclareol-forming)	C00353 + C00001	C09183 + C00013	C00353 + 2 C00001 <=> C09183 + C00013	geranylgeranyl-diphosphate diphosphohydrolase (sclareol-forming); Geranylgeranyl diphosphate + 2 H2O <=> Sclareol + Diphosphate	Geranylgeranyl diphosphate + 2 H2O <=> Sclareol + Diphosphate
R08993	geranyl-diphosphate diphosphohydrolase	C00353 + C00001	C09094 + C00013	C00353 + C00001 <=> C09094 + C00013	geranyl-diphosphate diphosphohydrolase; Geranylgeranyl diphosphate + H2O <=> Geranylgeraniol + Diphosphate	Geranylgeranyl diphosphate + H2O <=> Geranylgeraniol + Diphosphate
R08996	dimethylallyl-diphosphate:umbelliferone 6-dimethylallyltransferase	C09315 + C00235	C18083 + C00013	C09315 + C00235 <=> C18083 + C00013	dimethylallyl-diphosphate:umbelliferone 6-dimethylallyltransferase; Umbelliferone + Dimethylallyl diphosphate <=> Demethylsuberosin + Diphosphate	Umbelliferone + Dimethylallyl diphosphate <=> Demethylsuberosin + Diphosphate
R08997	demethylsuberosin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase	C18083 + C03024 + C00007	C09276 + C03161 + C00001	C18083 + C03024 + C00007 <=> C09276 + C03161 + C00001	demethylsuberosin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase; Demethylsuberosin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Marmesin + [Oxidized NADPH---hemoprotein reductase] + H2O	Demethylsuberosin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Marmesin + [Oxidized NADPH---hemoprotein reductase] + H2O
R09002	(+)-columbianetin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase	C19707 + C03024 + C00007	C09060 + C03161 + C00207 + C00001	C19707 + C03024 + C00007 <=> C09060 + C03161 + C00207 + 2 C00001	(+)-columbianetin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase; (+)-Columbianetin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Angelicin + [Oxidized NADPH---hemoprotein reductase] + Acetone + 2 H2O	(+)-Columbianetin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Angelicin + [Oxidized NADPH---hemoprotein reductase] + Acetone + 2 H2O
R09009	UDP-L-arabinopyranose furanomutase	C00935	C18094	C00935 <=> C18094	UDP-L-arabinopyranose furanomutase; UDP-L-arabinose <=> UDP-L-arabinofuranose	UDP-L-arabinose <=> UDP-L-arabinofuranose
R09030	D-allose-6-phosphate aldose-ketose-isomerase	C02962	C18096	C02962 <=> C18096	D-allose-6-phosphate aldose-ketose-isomerase; D-Allose 6-phosphate <=> D-Allulose 6-phosphate	D-Allose 6-phosphate <=> D-Allulose 6-phosphate
R09032	primary fluorescent chlorophyll catabolite:ferredoxin oxidoreductase	C18098 + C00139	C18022 + C00138 + C00080	C18098 + 2 C00139 <=> C18022 + 2 C00138 + 2 C00080	primary fluorescent chlorophyll catabolite:ferredoxin oxidoreductase; Primary fluorescent chlorophyll catabolite + 2 Oxidized ferredoxin <=> Red chlorophyll catabolite + 2 Reduced ferredoxin + 2 H+	Primary fluorescent chlorophyll catabolite + 2 Oxidized ferredoxin <=> Red chlorophyll catabolite + 2 Reduced ferredoxin + 2 H+
R09033	chlorophyllide magnesium-lyase (pheophorbide-forming)	C02139 + C00080	C18021 + C00305	C02139 + 2 C00080 <=> C18021 + C00305	chlorophyllide magnesium-lyase (pheophorbide-forming); Chlorophyllide + 2 H+ <=> Pheophorbide a + Magnesium cation	Chlorophyllide + 2 H+ <=> Pheophorbide a + Magnesium cation
R09034	acyl-CoA:1-acyl-sn-glycero-3-phosphoinositol O-acyltransferase	C00040 + C03819	C00010 + C01194	C00040 + C03819 <=> C00010 + C01194	acyl-CoA:1-acyl-sn-glycero-3-phosphoinositol O-acyltransferase; Acyl-CoA + 1-Acylglycerophosphoinositol <=> CoA + 1-Phosphatidyl-D-myo-inositol	Acyl-CoA + 1-Acylglycerophosphoinositol <=> CoA + 1-Phosphatidyl-D-myo-inositol
R09035	acyl-CoA:1-acyl-sn-glycero-3-phosphoserine O-acyltransferase	C00040 + C18125	C00010 + C02737	C00040 + C18125 <=> C00010 + C02737	acyl-CoA:1-acyl-sn-glycero-3-phosphoserine O-acyltransferase; Acyl-CoA + 1-Acyl-sn-glycero-3-phosphoserine <=> CoA + Phosphatidylserine	Acyl-CoA + 1-Acyl-sn-glycero-3-phosphoserine <=> CoA + Phosphatidylserine
R09036	acyl-CoA:1-acyl-sn-glycero-3-phosphoglycerol O-acyltransferase	C00040 + C18126	C00010 + C00344	C00040 + C18126 <=> C00010 + C00344	acyl-CoA:1-acyl-sn-glycero-3-phosphoglycerol O-acyltransferase; Acyl-CoA + 1-Acyl-sn-glycero-3-phosphoglycerol <=> CoA + Phosphatidylglycerol	Acyl-CoA + 1-Acyl-sn-glycero-3-phosphoglycerol <=> CoA + Phosphatidylglycerol
R09038	cardiolipin acylhydrolase	C05980 + C00001	C18129 + C00162	C05980 + C00001 <=> C18129 + C00162	cardiolipin acylhydrolase; Cardiolipin + H2O <=> Monolysocardiolipin + Fatty acid	Cardiolipin + H2O <=> Monolysocardiolipin + Fatty acid
R09039	4-(beta-D-glucosyloxy)benzoate glucohydrolase	C03993 + C00001	C00156 + C00031	C03993 + C00001 <=> C00156 + C00031	4-(beta-D-glucosyloxy)benzoate glucohydrolase; 4-(beta-D-Glucosyloxy)benzoate + H2O <=> 4-Hydroxybenzoate + D-Glucose	4-(beta-D-Glucosyloxy)benzoate + H2O <=> 4-Hydroxybenzoate + D-Glucose
R09040	geranyl-diphosphate:4-hydroxybenzoate geranyltransferase	C00156 + C00341	C18131 + C00013	C00156 + C00341 <=> C18131 + C00013	geranyl-diphosphate:4-hydroxybenzoate geranyltransferase; 4-Hydroxybenzoate + Geranyl diphosphate <=> Geranyl-hydroxybenzoate + Diphosphate	4-Hydroxybenzoate + Geranyl diphosphate <=> Geranyl-hydroxybenzoate + Diphosphate
R09042	geranylhydroquinone,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3''-hydroxylating)	C10793 + C03024 + C00007	C18132 + C03161 + C00001	C10793 + C03024 + C00007 <=> C18132 + C03161 + C00001	geranylhydroquinone,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3''-hydroxylating); Geranylhydroquinone + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 3''-Hydroxy-geranylhydroquinone + [Oxidized NADPH---hemoprotein reductase] + H2O	Geranylhydroquinone + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 3''-Hydroxy-geranylhydroquinone + [Oxidized NADPH---hemoprotein reductase] + H2O
R09047	ATP:gentamicin-A 2''-adenylyltransferase	C00002 + C01917	C00013 + C18136	C00002 + C01917 <=> C00013 + C18136	ATP:gentamicin-A 2''-adenylyltransferase; ATP + Gentamicin A <=> Diphosphate + 2''-Adenylylgentamicin A	ATP + Gentamicin A <=> Diphosphate + 2''-Adenylylgentamicin A
R09053	3-vinylbacteriochlorophyllide a:ferredoxin 7,8-oxidoreductase	C02139 + C00138 + C00002 + C00001 + C00080	C18152 + C00139 + C00008 + C00009	C02139 + 2 C00138 + C00002 + C00001 + 2 C00080 <=> C18152 + 2 C00139 + C00008 + C00009	3-vinylbacteriochlorophyllide a:ferredoxin 7,8-oxidoreductase; Chlorophyllide + 2 Reduced ferredoxin + ATP + H2O + 2 H+ <=> 3-Vinylbacteriochlorophyllide a + 2 Oxidized ferredoxin + ADP + Orthophosphate	Chlorophyllide + 2 Reduced ferredoxin + ATP + H2O + 2 H+ <=> 3-Vinylbacteriochlorophyllide a + 2 Oxidized ferredoxin + ADP + Orthophosphate
R09054	3-hydroxyethylbacteriochlorophyllide-a hydro-lyase (3-vinylbacteriochlorophyllide-a-forming)	C18152 + C00001	C18153	C18152 + C00001 <=> C18153	3-hydroxyethylbacteriochlorophyllide-a hydro-lyase (3-vinylbacteriochlorophyllide-a-forming); 3-Vinylbacteriochlorophyllide a + H2O <=> 3-Hydroxyethylbacteriochlorophyllide a	3-Vinylbacteriochlorophyllide a + H2O <=> 3-Hydroxyethylbacteriochlorophyllide a
R09055	3-deacetyl-3-(1-hydroxyethyl)bacteriochlorophyllide-a:NAD+ oxidoreductase (bacteriochlorophyllide a-forming)	C18153 + C00003	C18155 + C00004 + C00080	C18153 + C00003 <=> C18155 + C00004 + C00080	3-deacetyl-3-(1-hydroxyethyl)bacteriochlorophyllide-a:NAD+ oxidoreductase (bacteriochlorophyllide a-forming); 3-Hydroxyethylbacteriochlorophyllide a + NAD+ <=> Bacteriochlorophyllide a + NADH + H+	3-Hydroxyethylbacteriochlorophyllide a + NAD+ <=> Bacteriochlorophyllide a + NADH + H+
R09059	3-hydroxyethylchlorophyllide-a hydro-lyase (chlorophyllide-a-forming)	C02139 + C00001	C18154	C02139 + C00001 <=> C18154	3-hydroxyethylchlorophyllide-a hydro-lyase (chlorophyllide-a-forming); Chlorophyllide + H2O <=> 3-Hydroxyethylchlorophyllide a	Chlorophyllide + H2O <=> 3-Hydroxyethylchlorophyllide a
R09060	3-hydroxyethylbacteriochlorophyllide-a:ferredoxin oxidoreductase	C18154 + C00138 + C00002 + C00001 + C00080	C18153 + C00139 + C00008 + C00009	C18154 + 2 C00138 + C00002 + C00001 + 2 C00080 <=> C18153 + 2 C00139 + C00008 + C00009	3-hydroxyethylbacteriochlorophyllide-a:ferredoxin oxidoreductase; 3-Hydroxyethylchlorophyllide a + 2 Reduced ferredoxin + ATP + H2O + 2 H+ <=> 3-Hydroxyethylbacteriochlorophyllide a + 2 Oxidized ferredoxin + ADP + Orthophosphate	3-Hydroxyethylchlorophyllide a + 2 Reduced ferredoxin + ATP + H2O + 2 H+ <=> 3-Hydroxyethylbacteriochlorophyllide a + 2 Oxidized ferredoxin + ADP + Orthophosphate
R09061	chlorophyllide-a hydrolase	C02139 + C00001	C18157 + C00132 + C00011	C02139 + C00001 <=> C18157 + C00132 + C00011	chlorophyllide-a hydrolase; Chlorophyllide + H2O <=> 8-Ethyl-12-methyl-3-vinylbacteriochlorophyllide d + Methanol + CO2	Chlorophyllide + H2O <=> 8-Ethyl-12-methyl-3-vinylbacteriochlorophyllide d + Methanol + CO2
R09063	S-adenosyl-L-methionine:bacteriochlorophyllide-d C20-methyltransferase	C18160 + C00019	C18161 + C00021	C18160 + C00019 <=> C18161 + C00021	S-adenosyl-L-methionine:bacteriochlorophyllide-d C20-methyltransferase; Bacteriochlorophyllide d + S-Adenosyl-L-methionine <=> Bacteriochlorophyllide c + S-Adenosyl-L-homocysteine	Bacteriochlorophyllide d + S-Adenosyl-L-methionine <=> Bacteriochlorophyllide c + S-Adenosyl-L-homocysteine
R09064	trans,trans-farnesyl-diphosphate:bacteriochlorophyllide-c farnesyltransferase	C18161 + C00448	C18163 + C00013	C18161 + C00448 <=> C18163 + C00013	trans,trans-farnesyl-diphosphate:bacteriochlorophyllide-c farnesyltransferase; Bacteriochlorophyllide c + trans,trans-Farnesyl diphosphate <=> Bacteriochlorophyll c + Diphosphate	Bacteriochlorophyllide c + trans,trans-Farnesyl diphosphate <=> Bacteriochlorophyll c + Diphosphate
R09065	trans,trans-farnesyl-diphosphate:bacteriochlorophyllide-d farnesyltransferase	C18160 + C00448	C18162 + C00013	C18160 + C00448 <=> C18162 + C00013	trans,trans-farnesyl-diphosphate:bacteriochlorophyllide-d farnesyltransferase; Bacteriochlorophyllide d + trans,trans-Farnesyl diphosphate <=> Bacteriochlorophyll d + Diphosphate	Bacteriochlorophyllide d + trans,trans-Farnesyl diphosphate <=> Bacteriochlorophyll d + Diphosphate
R09067	chlorophyllide-b:phytyl-diphosphate phytyltransferase	C16541 + C05427	C05307 + C00013	C16541 + C05427 <=> C05307 + C00013	chlorophyllide-b:phytyl-diphosphate phytyltransferase; Chlorophyllide b + Phytyl diphosphate <=> Chlorophyll b + Diphosphate	Chlorophyllide b + Phytyl diphosphate <=> Chlorophyll b + Diphosphate
R09068	chlorophyll chlorophyllidohydrolase	C05307 + C00001	C16541 + C01389	C05307 + C00001 <=> C16541 + C01389	chlorophyll chlorophyllidohydrolase; Chlorophyll b + H2O <=> Chlorophyllide b + Phytol	Chlorophyll b + H2O <=> Chlorophyllide b + Phytol
R09069	7(1)-hydroxychlorophyll-a:NAD+ oxidoreductase	C18151 + C00003	C05307 + C00004 + C00080	C18151 + C00003 <=> C05307 + C00004 + C00080	7(1)-hydroxychlorophyll-a:NAD+ oxidoreductase; 7(1)-Hydroxychlorophyll a + NAD+ <=> Chlorophyll b + NADH + H+	7(1)-Hydroxychlorophyll a + NAD+ <=> Chlorophyll b + NADH + H+
R09070	7(1)-hydroxychlorophyll-a:NADP+ oxidoreductase	C18151 + C00006	C05307 + C00005 + C00080	C18151 + C00006 <=> C05307 + C00005 + C00080	7(1)-hydroxychlorophyll-a:NADP+ oxidoreductase; 7(1)-Hydroxychlorophyll a + NADP+ <=> Chlorophyll b + NADPH + H+	7(1)-Hydroxychlorophyll a + NADP+ <=> Chlorophyll b + NADPH + H+
R09071	7(1)-hydroxychlorophyll a:ferredoxin oxidoreductase	C18151 + C00138 + C00080	C05306 + C00139 + C00001	C18151 + 2 C00138 + 2 C00080 <=> C05306 + 2 C00139 + C00001	7(1)-hydroxychlorophyll a:ferredoxin oxidoreductase; 7(1)-Hydroxychlorophyll a + 2 Reduced ferredoxin + 2 H+ <=> Chlorophyll a + 2 Oxidized ferredoxin + H2O	7(1)-Hydroxychlorophyll a + 2 Reduced ferredoxin + 2 H+ <=> Chlorophyll a + 2 Oxidized ferredoxin + H2O
R09072	S-adenosyl-L-methionine:1,2-diacyl-sn-glycerol 3-amino-3-carboxypropyltransferase	C00641 + C00019	C18168 + C00170	C00641 + C00019 <=> C18168 + C00170	S-adenosyl-L-methionine:1,2-diacyl-sn-glycerol 3-amino-3-carboxypropyltransferase; 1,2-Diacyl-sn-glycerol + S-Adenosyl-L-methionine <=> Diacylglycerylhomoserine + 5'-Methylthioadenosine	1,2-Diacyl-sn-glycerol + S-Adenosyl-L-methionine <=> Diacylglycerylhomoserine + 5'-Methylthioadenosine
R09073	S-adenosylmethionine:diacylglycerylhomoserine N-methyltransferase (diacylglyceryl-N,N,N-trimethylhomoserine-forming)	C18168 + C00019	C18169 + C00021	C18168 + 3 C00019 <=> C18169 + 3 C00021	S-adenosylmethionine:diacylglycerylhomoserine N-methyltransferase (diacylglyceryl-N,N,N-trimethylhomoserine-forming); Diacylglycerylhomoserine + 3 S-Adenosyl-L-methionine <=> Diacylglyceryl-N,N,N-trimethylhomoserine + 3 S-Adenosyl-L-homocysteine	Diacylglycerylhomoserine + 3 S-Adenosyl-L-methionine <=> Diacylglyceryl-N,N,N-trimethylhomoserine + 3 S-Adenosyl-L-homocysteine
R09074	N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming)	C00612 + C00007 + C00001	C00134 + C18170 + C00027	C00612 + C00007 + C00001 <=> C00134 + C18170 + C00027	N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming); N1-Acetylspermidine + Oxygen + H2O <=> Putrescine + 3-Acetamidopropanal + Hydrogen peroxide	N1-Acetylspermidine + Oxygen + H2O <=> Putrescine + 3-Acetamidopropanal + Hydrogen peroxide
R09075	N8-acetylspermidine:oxygen oxidoreductase (propane-1,3-diamine-forming)	C01029 + C00007 + C00001	C00986 + C05936 + C00027	C01029 + C00007 + C00001 <=> C00986 + C05936 + C00027	N8-acetylspermidine:oxygen oxidoreductase (propane-1,3-diamine-forming); N8-Acetylspermidine + Oxygen + H2O <=> 1,3-Diaminopropane + N4-Acetylaminobutanal + Hydrogen peroxide	N8-Acetylspermidine + Oxygen + H2O <=> 1,3-Diaminopropane + N4-Acetylaminobutanal + Hydrogen peroxide
R09076	spermidine:oxygen oxidoreductase (spermidine-forming)	C00750 + C00007 + C00001	C00315 + C05665 + C00027	C00750 + C00007 + C00001 <=> C00315 + C05665 + C00027	spermidine:oxygen oxidoreductase (spermidine-forming); Spermine + Oxygen + H2O <=> Spermidine + 3-Aminopropanal + Hydrogen peroxide	Spermine + Oxygen + H2O <=> Spermidine + 3-Aminopropanal + Hydrogen peroxide
R09077	spermidine:oxygen oxidoreductase (3-aminopropanal-forming)	C00315 + C00007 + C00001	C00134 + C05665 + C00027	C00315 + C00007 + C00001 <=> C00134 + C05665 + C00027	spermidine:oxygen oxidoreductase (3-aminopropanal-forming); Spermidine + Oxygen + H2O <=> Putrescine + 3-Aminopropanal + Hydrogen peroxide	Spermidine + Oxygen + H2O <=> Putrescine + 3-Aminopropanal + Hydrogen peroxide
R09078	(S)-acetoin:NAD+ oxidoreductase	C00741 + C00004 + C00080	C01769 + C00003	C00741 + C00004 + C00080 <=> C01769 + C00003	(S)-acetoin:NAD+ oxidoreductase; Diacetyl + NADH + H+ <=> (S)-Acetoin + NAD+	Diacetyl + NADH + H+ <=> (S)-Acetoin + NAD+
R09079	carboxyspermidine:NADP+ oxidoreductase	C00134 + C00441 + C00005 + C00080	C18172 + C00001 + C00006	C00134 + C00441 + C00005 + C00080 <=> C18172 + C00001 + C00006	carboxyspermidine:NADP+ oxidoreductase; Putrescine + L-Aspartate 4-semialdehyde + NADPH + H+ <=> Carboxyspermidine + H2O + NADP+	Putrescine + L-Aspartate 4-semialdehyde + NADPH + H+ <=> Carboxyspermidine + H2O + NADP+
R09080	carboxynorspermidine:NADP+ oxidoreductase	C00986 + C00441 + C00005 + C00080	C18174 + C00001 + C00006	C00986 + C00441 + C00005 + C00080 <=> C18174 + C00001 + C00006	carboxynorspermidine:NADP+ oxidoreductase; 1,3-Diaminopropane + L-Aspartate 4-semialdehyde + NADPH + H+ <=> Carboxynorspermidine + H2O + NADP+	1,3-Diaminopropane + L-Aspartate 4-semialdehyde + NADPH + H+ <=> Carboxynorspermidine + H2O + NADP+
R09081	carboxyspermidine carboxy-lyase (spermidine-forming)	C18172	C00315 + C00011	C18172 <=> C00315 + C00011	carboxyspermidine carboxy-lyase (spermidine-forming); Carboxyspermidine <=> Spermidine + CO2	Carboxyspermidine <=> Spermidine + CO2
R09082	carboxynorspermidine carboxy-lyase (norspermidine-forming)	C18174	C03375 + C00011	C18174 <=> C03375 + C00011	carboxynorspermidine carboxy-lyase (norspermidine-forming); Carboxynorspermidine <=> Norspermidine + CO2	Carboxynorspermidine <=> Norspermidine + CO2
R09084	ADP:D-fructose-6-phosphate 1-phosphotransferase	C05345 + C00008	C05378 + C00020	C05345 + C00008 <=> C05378 + C00020	ADP:D-fructose-6-phosphate 1-phosphotransferase; beta-D-Fructose 6-phosphate + ADP <=> beta-D-Fructose 1,6-bisphosphate + AMP	beta-D-Fructose 6-phosphate + ADP <=> beta-D-Fructose 1,6-bisphosphate + AMP
R09085	ADP:D-glucose 6-phosphotransferase	C00267 + C00008	C00668 + C00020	C00267 + C00008 <=> C00668 + C00020	ADP:D-glucose 6-phosphotransferase; alpha-D-Glucose + ADP <=> alpha-D-Glucose 6-phosphate + AMP	alpha-D-Glucose + ADP <=> alpha-D-Glucose 6-phosphate + AMP
R09086	ADP:D-glucose 6-phosphotransferase	C00221 + C00008	C01172 + C00020	C00221 + C00008 <=> C01172 + C00020	ADP:D-glucose 6-phosphotransferase; beta-D-Glucose + ADP <=> beta-D-Glucose 6-phosphate + AMP	beta-D-Glucose + ADP <=> beta-D-Glucose 6-phosphate + AMP
R09087	ATP:1D-myo-inositol-hexakisphosphate 5-phosphotransferase	C00002 + C01204	C00008 + C11526	C00002 + C01204 <=> C00008 + C11526	ATP:1D-myo-inositol-hexakisphosphate 5-phosphotransferase; ATP + Phytic acid <=> ADP + 5-PP-InsP5	ATP + Phytic acid <=> ADP + 5-PP-InsP5
R09095	hydrogen:2-(2,3-dihydropentaprenyloxy)phenazine oxidoreductase	C11903 + C00282	C11904	C11903 + C00282 <=> C11904	hydrogen:2-(2,3-dihydropentaprenyloxy)phenazine oxidoreductase; Methanophenazine + Hydrogen <=> Dihydromethanophenazine	Methanophenazine + Hydrogen <=> Dihydromethanophenazine
R09097	propanal:NAD+ oxidoreductase (CoA-propanoylating)	C00479 + C00003 + C00010	C00100 + C00004 + C00080	C00479 + C00003 + C00010 <=> C00100 + C00004 + C00080	propanal:NAD+ oxidoreductase (CoA-propanoylating); Propanal + NAD+ + CoA <=> Propanoyl-CoA + NADH + H+	Propanal + NAD+ + CoA <=> Propanoyl-CoA + NADH + H+
R09098	methanol:coenzyme M methyltransferase	C00132 + C03576	C03920 + C00001	C00132 + C03576 <=> C03920 + C00001	methanol:coenzyme M methyltransferase; Methanol + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + H2O	Methanol + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + H2O
R09099	5,10-methylenetetrahydromethanopterin:glycine hydroxymethyltransferase	C00065 + C01217	C04377 + C00037 + C00001	C00065 + C01217 <=> C04377 + C00037 + C00001	5,10-methylenetetrahydromethanopterin:glycine hydroxymethyltransferase; L-Serine + 5,6,7,8-Tetrahydromethanopterin <=> 5,10-Methylenetetrahydromethanopterin + Glycine + H2O	L-Serine + 5,6,7,8-Tetrahydromethanopterin <=> 5,10-Methylenetetrahydromethanopterin + Glycine + H2O
R09106	feruloyl-CoA:16-hydroxypalmitate feruloyltransferase	C00406 + C18218	C00010 + C18217	C00406 + C18218 <=> C00010 + C18217	feruloyl-CoA:16-hydroxypalmitate feruloyltransferase; Feruloyl-CoA + 16-Hydroxypalmitate <=> CoA + 16-Feruloyloxypalmitate	Feruloyl-CoA + 16-Hydroxypalmitate <=> CoA + 16-Feruloyloxypalmitate
R09107	N-acetyl-L-citrulline amidohydrolase	C15532 + C00001	C00033 + C00327	C15532 + C00001 <=> C00033 + C00327	N-acetyl-L-citrulline amidohydrolase; N-Acetyl-L-citrulline + H2O <=> Acetate + L-Citrulline	N-Acetyl-L-citrulline + H2O <=> Acetate + L-Citrulline
R09111	(+)-copalyl diphosphate-lyase (isopimara-7,15-diene-forming)	C11901	C18211 + C00013	C11901 <=> C18211 + C00013	(+)-copalyl diphosphate-lyase (isopimara-7,15-diene-forming); Copalyl diphosphate <=> Isopimara-7,15-diene + Diphosphate	Copalyl diphosphate <=> Isopimara-7,15-diene + Diphosphate
R09115	9alpha-copalyl-diphosphate diphosphate-lyase (stemar-13-ene-forming)	C11902	C18223 + C00013	C11902 <=> C18223 + C00013	9alpha-copalyl-diphosphate diphosphate-lyase (stemar-13-ene-forming); 9alpha-Copalyl diphosphate <=> Stemar-13-ene + Diphosphate	9alpha-Copalyl diphosphate <=> Stemar-13-ene + Diphosphate
R09116	9alpha-copalyl-diphosphate diphosphate-lyase [stemod-13(17)-ene-forming]	C11902	C18224 + C00013	C11902 <=> C18224 + C00013	9alpha-copalyl-diphosphate diphosphate-lyase [stemod-13(17)-ene-forming]; 9alpha-Copalyl diphosphate <=> Stemod-13(17)-ene + Diphosphate	9alpha-Copalyl diphosphate <=> Stemod-13(17)-ene + Diphosphate
R09117	9alpha-copalyl-diphosphate diphosphate-lyase (9beta-pimara-7,15-diene-forming)	C11902	C18225 + C00013	C11902 <=> C18225 + C00013	9alpha-copalyl-diphosphate diphosphate-lyase (9beta-pimara-7,15-diene-forming); 9alpha-Copalyl diphosphate <=> 9beta-Pimara-7,15-diene + Diphosphate	9alpha-Copalyl diphosphate <=> 9beta-Pimara-7,15-diene + Diphosphate
